Age,total_rooms,total_bedrooms,households,median_income,Value
1,880,129,126,8.3252,500001
1,7099,1106,1138,8.3014,500001
1,1467,190,177,7.2574,500001
1,1274,235,219,5.6431,500001
2,1627,280,259,3.8462,500001
2,919,213,193,4.0368,500001
2,2535,489,514,3.6591,500001
2,3104,687,647,3.12,500001
2,2555,665,595,2.0804,500001
2,3549,707,714,3.6912,500001
2,2202,434,402,3.2031,500001
2,3503,752,734,3.2705,500001
2,2491,474,468,3.075,500001
2,696,191,174,2.6736,500001
2,2643,626,620,1.9167,500001
2,1120,283,264,2.125,500001
2,1966,347,331,2.775,500001
2,1228,293,303,2.1202,500001
2,2239,455,419,1.9911,500001
2,1503,298,275,2.6033,500001
2,751,184,166,1.3578,500001
2,1639,367,366,1.7135,500001
2,2436,541,478,1.725,500001
2,1688,337,325,2.1806,500001
2,2224,437,422,2.6,500001
2,535,123,119,2.4038,500001
2,1130,244,239,2.4597,500001
2,1898,421,397,1.808,500001
2,2082,492,473,1.6424,500001
2,729,160,155,1.6875,500001
2,1916,447,378,1.9274,500001
2,2153,481,441,1.9615,500001
2,1922,409,335,1.7969,500001
2,1655,366,329,1.375,500001
2,2665,574,536,2.7303,500001
2,1215,282,264,1.4861,500001
2,1798,432,374,1.0972,500001
2,1511,390,403,1.4103,500001
2,1470,330,309,3.48,500001
2,2432,715,696,2.5898,500001
2,1665,419,395,2.0978,500001
2,936,311,249,1.2852,500001
2,713,202,189,1.025,500001
2,950,202,198,3.9643,500001
2,1443,311,292,3.0125,500001
2,1656,420,382,2.6768,500001
2,1125,322,304,2.026,500001
2,1007,312,253,1.7348,500001
2,624,195,160,0.9506,500001
2,946,375,352,1.775,500001
2,896,453,438,0.9218,500001
2,1868,456,407,1.5045,500001
2,3221,853,720,1.1108,500001
2,1630,456,400,1.2475,500001
2,1170,235,233,1.6098,500001
2,945,243,220,1.4113,500001
2,1238,288,259,1.5057,500001
2,1489,335,244,0.8172,500001
2,1387,341,304,1.2171,500001
2,158,43,57,2.5625,500001
2,1121,211,187,3.3929,500001
2,135,29,23,6.1183,500001
3,760,190,122,0.9011,500001
3,1224,237,159,1.191,500001
3,828,182,133,2.5938,500001
3,1010,209,187,1.1667,500001
3,1455,354,332,0.8056,500001
3,1027,244,147,2.6094,500001
3,572,109,82,1.8516,500001
3,2801,644,611,0.9802,500001
3,768,152,127,1.7719,500001
3,935,297,277,0.7286,500001
3,844,204,152,1.75,500001
3,12,4,7,0.4999,500001
3,835,161,133,2.483,500001
3,1237,462,439,0.9241,500001
3,2914,562,509,2.4464,500001
3,1207,243,207,1.1111,500001
3,1745,374,325,0.8026,500001
3,684,176,155,2.0114,500001
3,924,289,289,1.5,500001
3,210,56,56,1.1667,500001
3,340,97,87,1.5208,500001
3,386,164,155,0.8075,500001
3,948,184,169,1.8088,500001
3,773,143,115,2.4083,500001
3,880,451,380,0.977,500001
3,875,348,330,0.76,500001
3,105,42,39,0.9722,500001
3,249,78,85,1.2434,500001
3,994,392,362,2.0938,500001
3,215,87,88,0.8668,500001
3,96,31,34,0.75,500001
3,1055,347,302,2.6354,500001
3,1715,623,467,1.8477,500001
3,5329,2477,2323,2.0096,500001
3,4596,1331,1180,2.8345,500001
3,335,107,91,2.0062,500001
3,3682,1270,1250,1.2185,500001
3,3633,1085,980,2.6104,500001
3,4656,1414,1250,2.4912,500001
3,5806,1603,1497,3.2177,500001
3,854,242,228,3.125,500001
3,2155,701,613,2.5795,500001
3,5871,1914,1789,2.8406,500001
3,1509,225,244,4.9306,500001
3,2026,482,456,3.2727,500001
3,1758,460,422,3.1691,500001
3,3481,751,718,3.9,500001
3,3337,855,802,3.9063,500001
3,1424,289,253,5.0917,500001
3,3809,1098,1022,2.6429,500001
3,3959,1196,1217,3.0233,500001
